,cname,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners
192,Yemen,0.49900001,YEM,NorthAfrica,2170.9299,,7.5,1.896328449249268,,41.72175979614258
25,Myanmar,0.55199999,MMR,SouthEastAsia,5733.3701,51.41899871826172,5.699999809265137,2.659119129180908,,48.25643920898438
173,Tonga,0.71799999,TON,Pacific,3962.0601,0.1040000021457672,,,,75.42909240722656
96,Latvia,0.82800001,LVA,EastEurope,16583.67,2.000999927520752,4.400000095367432,3.764238119125366,5.285240173339844,94.276611328125
154,Sierra Leone,0.43099999,SLE,SubSaharian,979.95001,6.23199987411499,8.399999618530273,2.986086368560791,2.661669969558716,
99,Liechtenstein,0.91100001,LIE,WesternDem,102243.52,,,,2.556040048599243,91.53871917724608
145,St Kitts and Nevis,0.76200002,KNA,Caribbean,11237.75,,,,2.784240007400513,82.93193817138672
11,Bahrain,0.82300001,BHR,NorthAfrica,22498.48,1.26800000667572,3.5,4.319009780883789,2.467459917068481,88.25039672851562
167,Sweden,0.90899998,SWE,WesternDem,39000.91,9.645000457763672,1.5,4.577005863189697,7.675089836120606,96.65155792236328
10,Bahamas,0.79000002,BHS,Caribbean,21672.029,0.3560000061988831,5.0,,,
129,Marshall Islands,,MHL,Pacific,2833.97,0.0540000014007092,,,,64.4613037109375
136,Philippines,0.67900002,PHL,SouthEastAsia,3953.1001,100.1490020751953,6.199999809265137,4.54694414138794,,67.44245910644531
139,Guinea-Bissau,0.421,GNB,SubSaharian,961.26001,,8.5,,2.173130035400391,
107,Malta,0.85299999,MLT,WesternDem,24094.641,0.425000011920929,4.0,5.026020526885986,7.848999977111816,88.06436157226562
28,Cambodia,0.55800003,KHM,SouthEastAsia,1927.0601,14.60499954223633,7.5,3.17626953125,1.901970028877258,
125,Niger,0.35100001,NER,SubSaharian,644.53998,,6.900000095367432,,6.709410190582275,15.66504001617432
176,Tunisia,0.72299999,TUN,NorthAfrica,6912.2798,,5.5,3.721023797988892,6.250360012054443,
120,Nepal,0.55500001,NPL,SouthAsia,1462.08,28.17499923706055,7.0,3.591810703277588,3.981300115585327,59.67913055419922
43,Croatia,0.82300001,HRV,EastEurope,18020.41,4.23799991607666,4.5,3.225566625595093,4.581600189208984,92.67062377929688
7,Argentina,0.82599998,ARG,LatAm,15102.61,41.73300170898438,3.0,2.983357429504395,5.32548999786377,88.24600219726562
168,Switzerland,0.93800002,CHE,WesternDem,50454.41,8.140000343322754,2.099999904632568,5.986858367919922,5.096079826354981,84.2464828491211
63,Gambia,0.44999999,GMB,SubSaharian,1601.88,,7.699999809265137,4.276580810546875,2.767709970474243,
72,Haiti,0.49000001,HTI,LatAm,1024.9399,,9.300000190734863,2.325876951217651,,
94,Lebanon,0.76300001,LBN,NorthAfrica,14711.97,4.382999897003174,5.400000095367432,4.551487922668457,2.571190118789673,64.83651733398438
